date,name,type,value
1月28日,湖北,武汉市,315
1月28日,湖北,黄石市,33
1月28日,湖北,十堰市,23
1月28日,湖北,襄阳市,61
1月28日,湖北,宜昌市,12
1月28日,湖北,荆州市,30
1月28日,湖北,荆门市,28
1月28日,湖北,鄂州市,27
1月28日,湖北,孝感市,101
1月28日,湖北,黄冈市,111
1月28日,湖北,咸宁市,21
1月28日,湖北,随州市,46
1月28日,湖北,恩施州,13
1月28日,湖北,仙桃市,5
1月28日,湖北,天门市,11
1月28日,湖北,潜江市,1
1月28日,湖北,神农架林区,2
1月28日,湖北,湖北,0
1月28日,山西,运城市,4
1月28日,山西,晋中市,2
1月28日,山西,大同市,1
1月28日,德国,德国,3
1月28日,江西,南昌市,8
1月28日,江西,新余市,8
1月28日,江西,九江市,7
1月28日,江西,赣州市,6
1月28日,江西,宜春市,4
1月28日,江西,上饶市,2
1月28日,江西,吉安市,1
1月28日,江西,抚州市,1
1月28日,法国,法国,1
1月28日,马来西亚,马来西亚,3
1月28日,黑龙江,佳木斯市,2
1月28日,加拿大,加拿大,1
1月28日,上海,浦东新区,3
1月28日,上海,静安区,2
1月28日,上海,黄浦区,1
1月28日,上海,宝山区,1
1月28日,上海,外地来沪,7
1月28日,辽宁,朝阳市,1
1月28日,辽宁,葫芦岛市,1
1月28日,广西,南宁市,2
1月28日,广西,北海市,2
1月28日,广西,防城港市,2
1月28日,广西,桂林市,1
1月28日,河南,濮阳市,1
1月28日,河南,郑州市,3
1月28日,河南,开封市,1
1月28日,河南,安阳市,3
1月28日,河南,鹤壁市,3
1月28日,河南,新乡市,1
1月28日,河南,三门峡市,1
1月28日,河南,南阳市,5
1月28日,河南,商丘市,7
1月28日,河南,周口市,4
1月28日,河南,信阳市,3
1月28日,河南,驻马店市,6
1月28日,山东,济南市,1
1月28日,山东,淄博市,2
1月28日,山东,枣庄市,3
1月28日,山东,潍坊市,2
1月28日,山东,泰安市,2
1月28日,山东,威海市,1
1月28日,山东,日照市,1
1月28日,山东,临沂市,7
1月28日,山东,德州市,3
1月28日,山东,滨州市,2
1月28日,山东,菏泽市,2
1月28日,安徽,合肥市,13
1月28日,安徽,亳州市,7
1月28日,安徽,宿州市,6
1月28日,安徽,阜阳市,2
1月28日,安徽,六安市,2
1月28日,安徽,马鞍山市,1
1月28日,安徽,芜湖市,2
1月28日,安徽,安庆市,6
1月28日,安徽,黄山市,3
1月28日,安徽,宿松市,4
1月28日,贵州,贵阳市,0
1月28日,江苏,南京市,4
1月28日,江苏,苏州市,8
1月28日,江苏,无锡市,3
1月28日,江苏,淮安市,1
1月28日,江苏,盐城市,5
1月28日,江苏,扬州市,3
